Caz Mediu
n,a_heap,c_heap,total_heap,a_quick,_c_quick,total_quick
100,14997,1894,4893,323,875,2493
600,124373,15970,40844,2735,6943,20621
1100,249359,32098,81970,5979,14603,44501
1600,383129,49422,126047,8578,21778,64672
2100,519591,67017,170935,11996,29653,89635
2600,662100,85573,217993,15099,37919,113418
3100,808590,104565,266283,18273,45640,137007
3600,955871,123662,314836,22282,53235,164648
4100,1104392,142765,363643,25109,60703,186248
4600,1257403,162757,414238,28403,69932,211950
5100,1410342,182709,464777,31617,79425,237515
5600,1566668,203088,516422,38289,87800,279250
6100,1724117,223518,568341,41896,95661,305141
6600,1882044,244122,620530,44391,103488,325445
7100,2040113,264566,672589,49657,115131,363420
7600,2199903,285239,725220,55448,126010,403250
8100,2360969,306060,778253,58038,136046,426241
8600,2523529,327274,831980,65885,147599,477028
9100,2687856,348740,886311,68048,160176,500420
9600,2851530,370232,940538,76678,170161,553554


Caz Defavorabil
n,a_quick,c_quick,total_quick
100,9994,4951,14945
200,37670,18743,56413
300,74082,36903,110985
400,119732,59581,179313
500,203650,101583,305233
600,284914,142179,427093
700,349602,173621,523223
800,448312,223745,672057
900,530730,264219,794949
1000,560038,279567,839605
1100,708336,353397,1061733
1200,788922,392365,1181287
1300,837842,417852,1255694
1400,985190,491910,1477100
1500,1048860,522468,1571328
1600,1103894,548214,1652108
1700,1317996,657111,1975107
1800,1350718,670789,2021507
1900,1540490,766557,2307047
2000,1509652,751427,2261079
2100,1724232,859244,2583476
2200,1730062,855255,2585317
2300,1782346,886744,2669090
2400,1912592,950241,2862833
2500,1978164,980193,2958357
2600,2099104,1036887,3135991
2700,2269832,1127069,3396901
2800,2396304,1188928,3585232
2900,2473938,1223787,3697725
3000,2706688,1338952,4045640
3100,2810790,1391234,4202024
3200,2989096,1473857,4462953
3300,3176890,1569544,4746434
3400,3402508,1683841,5086349
3500,3605546,1783356,5388902
3600,3912342,1932625,5844967
3700,4204424,2061152,6265576
3800,4697790,2311724,7009514
3900,4964838,2437445,7402283
4000,4876156,2395151,7271307
4100,5748072,2835509,8583581
4200,5722336,2799797,8522133
4300,6324572,3107129,9431701
4400,6960250,3413257,10373507
4500,7635142,3729181,11364323
4600,8127640,3988040,12115680
4700,8517316,4166996,12684312
4800,9074116,4429998,13504114
4900,9506422,4620115,14126537
5000,9571432,4648616,14220048
5100,9381260,4568211,13949471
5200,9547434,4652261,14199695
5300,9751532,4731825,14483357
5400,10091828,4909008,15000836
5500,10121418,4913570,15034988
5600,10637698,5169337,15807035
5700,10928510,5312594,16241104
5800,11932132,5775359,17707491
5900,11773454,5706015,17479469
6000,13501122,6488923,19990045
6100,14264186,6841480,21105666
6200,14824648,7121181,21945829
6300,16389554,7912954,24302508
6400,16925692,8147653,25073345
6500,17928556,8591420,26519976
6600,18029368,8657421,26686789
6700,18430030,8839267,27269297
6800,18694462,8891320,27585782
6900,19571570,9318336,28889906
7000,20667238,9901906,30569144
