
k=5
n,total
100,2374
200,4696
300,7065
400,9636
500,11812
600,14209
700,16738
800,19284
900,21281
1000,23868
1100,26307
1200,28631
1300,30839
1400,33140
1500,35740
1600,37927
1700,40929
1800,43128
1900,45138
2000,47553
2100,50101
2200,52764
2300,55490
2400,56953
2500,59852
2600,62396
2700,65279
2800,67569
2900,70309
3000,71891
3100,74315
3200,76994
3300,78820
3400,81999
3500,84467
3600,85722
3700,88805
3800,91081
3900,94383
4000,96384
4100,98535
4200,100732
4300,104201
4400,105570
4500,108238
4600,110247
4700,113000
4800,114811
4900,118219
5000,120571
5100,121929
5200,125149
5300,127322
5400,129004
5500,132891
5600,135344
5700,137008
5800,139222
5900,141310
6000,144020
6100,147625
6200,148591
6300,152650
6400,153943
6500,156058
6600,157925
6700,162511
6800,164102
6900,165415
7000,168605
7100,170622
7200,174516
7300,176087
7400,178273
7500,179708
7600,183407
7700,185333
7800,187199
7900,191297
8000,192237
8100,195502
8200,198515
8300,200119
8400,202482
8500,205845
8600,207635
8700,209644
8800,213281
8900,215444
9000,217585
9100,219594
9200,220918
9300,222955
9400,225480
9500,230034
9600,231621
9700,234675
9800,236019
9900,238938
10000,240882

k=10
n,total
100,3016
200,5936
300,9042
400,12482
500,15292
600,18498
700,21184
800,24574
900,27397
1000,30435
1100,33733
1200,37076
1300,40193
1400,43826
1500,46625
1600,49340
1700,53199
1800,56037
1900,58635
2000,61949
2100,65076
2200,68720
2300,71588
2400,74330
2500,77073
2600,80516
2700,83483
2800,87400
2900,90579
3000,92569
3100,96564
3200,99689
3300,101794
3400,105447
3500,108858
3600,112344
3700,115506
3800,118729
3900,121811
4000,124815
4100,127667
4200,131332
4300,134240
4400,136704
4500,141182
4600,142666
4700,146586
4800,149199
4900,153257
5000,155379
5100,159135
5200,161763
5300,165125
5400,166919
5500,170037
5600,174739
5700,177711
5800,181807
5900,184066
6000,187854
6100,190376
6200,193648
6300,196320
6400,201659
6500,202561
6600,207289
6700,209192
6800,211031
6900,216158
7000,219319
7100,222829
7200,225699
7300,229089
7400,230748
7500,233865
7600,236233
7700,240279
7800,244791
7900,246944
8000,250910
8100,252866
8200,255554
8300,260525
8400,262846
8500,266328
8600,269194
8700,272009
8800,276840
8900,277567
9000,282952
9100,282473
9200,288316
9300,292973
9400,294141
9500,297980
9600,301510
9700,304554
9800,307866
9900,309075
10000,312344

k=100
n,total
100,7453
200,11773
300,16258
400,21646
500,27601
600,33837
700,39772
800,44416
900,50819
1000,55684
1100,62754
1200,68268
1300,73118
1400,79246
1500,85850
1600,92311
1700,97487
1800,102626
1900,109017
2000,114135
2100,120556
2200,126606
2300,132452
2400,139887
2500,144854
2600,150829
2700,156138
2800,161242
2900,167436
3000,174724
3100,179849
3200,185205
3300,190615
3400,198536
3500,202329
3600,209322
3700,214165
3800,221521
3900,226238
4000,232093
4100,239575
4200,244184
4300,248772
4400,256505
4500,263422
4600,269237
4700,274256
4800,278490
4900,286172
5000,292096
5100,297695
5200,303417
5300,310225
5400,315727
5500,321447
5600,328610
5700,333491
5800,339330
5900,345759
6000,351422
6100,356109
6200,363043
6300,368939
6400,374375
6500,381017
6600,384474
6700,390996
6800,399363
6900,405241
7000,410595
7100,416080
7200,423182
7300,430046
7400,434039
7500,440692
7600,445308
7700,452307
7800,456887
7900,465274
8000,468534
8100,475339
8200,480520
8300,487888
8400,493788
8500,498936
8600,505684
8700,511752
8800,515199
8900,524185
9000,529412
9100,535191
9200,540530
9300,548252
9400,552462
9500,557737
9600,564943
9700,568776
9800,574750
9900,582519
10000,587801

n=10000
k,total
10,311934
20,391324
30,434922
40,470757
50,500586
60,521409
70,541957
80,561264
90,575891
100,589300
110,598418
120,606005
130,617740
140,625540
150,636806
160,648092
170,657381
180,664565
190,669562
200,676196
210,680152
220,684730
230,690285
240,693506
250,699260
260,706021
270,709758
280,716064
290,720413
300,723336
310,728995
320,733682
330,736036
340,743242
350,744520
360,749894
370,753287
380,756872
390,759019
400,760009
410,760735
420,766768
430,768971
440,773551
450,774115
460,778761
470,779743
480,781822
490,784317
500,786993
