n,100 * log(n),10 * n,n * log(n),0.1 * n * n,0.01 * n *n *n
1,0,10,0,0.1,0.01
2,69.31472,20,1.386294,0.4,0.08
3,109.861229,30,3.295837,0.9,0.27
4,138.62944,40,5.545177,1.6,0.64
5,160.943787,50,8.04719,2.5,1.25
6,179.175949,60,10.750557,3.6,2.16
7,194.591019,70,13.621371,4.9,3.43
8,207.944153,80,16.635532,6.4,5.12
9,219.722458,90,19.775021,8.1,7.29
10,230.258514,100,23.02585,10,10
11,239.78952,110,26.376848,12.1,13.31
12,248.490662,120,29.81888,14.4,17.280001
13,256.494934,130,33.344341,16.9,21.969999
14,263.905731,140,36.946804,19.6,27.440001
15,270.805023,150,40.620754,22.5,33.75
16,277.258881,160,44.36142,25.6,40.959999
17,283.32132,170,48.164627,28.9,49.130001
18,289.03717,180,52.026691,32.400002,58.32
19,294.443909,190,55.94434,36.099998,68.589996
20,299.573242,200,59.914646,40,80
21,304.45224,210,63.934971,44.099998,92.610001
22,309.104248,220,68.002937,48.400002,106.480003
23,313.549408,230,72.116364,52.900002,121.669998
24,317.805389,240,76.273293,57.599998,138.240005
25,321.887573,250,80.471893,62.5,156.25
26,325.809662,260,84.71051,67.599998,175.759995
27,329.583679,270,88.987595,72.900002,196.830002
28,333.220459,280,93.301727,78.400002,219.520004
29,336.729584,290,97.651581,84.099998,243.889999
30,340.119751,300,102.035919,90,270
31,343.398712,310,106.453606,96.099998,297.910004
32,346.573578,320,110.903549,102.400002,327.679993
33,349.650757,330,115.38475,108.900002,359.369995
34,352.636047,340,119.896255,115.599998,393.040009
35,355.534821,350,124.43718,122.5,428.75
36,358.351898,360,129.006683,129.600006,466.559998
37,361.091797,370,133.603958,136.899994,506.529999
38,363.758606,380,138.228271,144.399994,548.719971
39,366.356171,390,142.878906,152.100006,593.190002
40,368.887939,400,147.555176,160,640
41,371.357208,410,152.256454,168.100006,689.210022
42,373.766968,420,156.982117,176.399994,740.880005
43,376.120026,430,161.731598,184.899994,795.070007
44,378.418976,440,166.504349,193.600006,851.840027
45,380.66626,450,171.299805,202.5,911.25
46,382.864136,460,176.117508,211.600006,973.359985
47,385.014771,470,180.95694,220.899994,1038.22998
48,387.120087,480,185.817642,230.399994,1105.920044
49,389.182037,490,190.699188,240.100006,1176.48999
50,391.202301,500,195.601151,250,1250
51,393.182556,510,200.523102,260.100006,1326.51001
52,395.124359,520,205.464676,270.399994,1406.079956
53,397.029205,530,210.425476,280.899994,1488.77002
54,398.898407,540,215.405136,291.600006,1574.640015
55,400.733307,550,220.40332,302.5,1663.75
56,402.535156,560,225.419693,313.600006,1756.160034
57,404.305115,570,230.453918,324.899994,1851.930054
58,406.044312,580,235.505692,336.399994,1951.119995
59,407.753754,590,240.574707,348.100006,2053.790039
60,409.434448,600,245.660675,360,2160
61,411.087372,610,250.763306,372.100006,2269.810059
62,412.71344,620,255.882339,384.399994,2383.280029
63,414.313477,630,261.017487,396.899994,2500.469971
64,415.888306,640,266.168518,409.600006,2621.439941
65,417.438721,650,271.335175,422.5,2746.25
66,418.965485,660,276.517212,435.600006,2874.959961
67,420.469269,670,281.714417,448.899994,3007.629883
68,421.950775,680,286.926514,462.399994,3144.320068
69,423.410645,690,292.153351,476.100006,3285.090088
70,424.849518,700,297.394653,490,3430
71,426.267975,710,302.650269,504.100006,3579.110107
72,427.666626,720,307.919952,518.400024,3732.47998
73,429.045929,730,313.203552,532.900024,3890.169922
74,430.406494,740,318.500824,547.599976,4052.23999
75,431.74881,750,323.811615,562.5,4218.75
76,433.073334,760,329.135742,577.599976,4389.759766
77,434.380554,770,334.473022,592.900024,4565.330078
78,435.670868,780,339.823303,608.400024,4745.52002
79,436.944794,790,345.186371,624.099976,4930.390137
80,438.202667,800,350.562134,640,5120
81,439.444916,810,355.950378,656.099976,5314.410156
82,440.671936,820,361.350983,672.400024,5513.680176
83,441.884064,830,366.763763,688.900024,5717.870117
84,443.081665,840,372.188599,705.599976,5927.040039
85,444.265137,850,377.625366,722.5,6141.25
86,445.434723,860,383.073853,739.599976,6360.560059
87,446.59082,870,388.533997,756.900024,6585.029785
88,447.733673,880,394.005646,774.400024,6814.720215
89,448.863647,890,399.488647,792.099976,7049.689941
90,449.980957,900,404.98288,810,7290
91,451.085938,910,410.48822,828.099976,7535.709961
92,452.178864,920,416.004547,846.400024,7786.879883
93,453.259949,930,421.531738,864.900024,8043.569824
94,454.329468,940,427.069702,883.599976,8305.839844
95,455.387695,950,432.618317,902.5,8573.75
96,456.434814,960,438.177429,921.599976,8847.360352
97,457.4711,970,443.746979,940.900024,9126.730469
98,458.496735,980,449.326813,960.400024,9411.919922
99,459.511993,990,454.91687,980.099976,9702.990234
100,460.517029,1000,460.517029,1000,10000
